Language,City,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Telugu","Bengaluru","Sharada Cinemas A/C Laser Projector DTS Sound","01:10 PM","474","113","23.84%","18750.00","82950.00","175.00"
"Telugu","Bengaluru","Sri Lakshmi Narasimha Theatre: Anekal","01:45 PM","184","4","2.17%","600.00","27600.00","150.00"
"Telugu","Bengaluru","Sri Lakshmi Narasimha Theatre: Anekal","07:45 PM","184","0","0.00%","0.00","27600.00","150.00"
"Telugu","Bengaluru","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","04:00 PM","184","11","5.98%","1800.00","30360.00","165.00"
"Telugu","Bengaluru","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","07:15 PM","184","15","8.15%","2550.00","30360.00","165.00"
"Telugu","Bengaluru","Sri Renuka Prasanna Theatre: J P Nagar","03:00 PM","742","6","0.81%","1300.00","166950.00","225.00"
"Telugu","Bengaluru","Sri Renuka Prasanna Theatre: J P Nagar","09:00 PM","742","8","1.08%","1600.00","166950.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","01:00 PM","774","362","46.77%","79700.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","04:00 PM","774","349","45.09%","77150.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","07:00 PM","774","339","43.80%","74650.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Cinema 4K Dolby Atmos SG Palya:Screen1","10:00 PM","774","340","43.93%","74850.00","174150.00","225.00"
"Telugu","Bengaluru","Srinivasa Theater A/C 4K Dolby Atmos: Kadugudi","03:50 PM","495","294","59.39%","53420.00","92400.00","186.67"
"Telugu","Bengaluru","Srinivasa Theater A/C 4K Dolby Atmos: Kadugudi","10:15 PM","495","271","54.75%","49240.00","92400.00","186.67"
"Telugu","Bengaluru","Thirumala 4K Dolby Atmos: Agara","12:45 PM","704","185","26.28%","35500.00","140800.00","200.00"
"Telugu","Bengaluru","Thirumala 4K Dolby Atmos: Agara","07:10 PM","704","83","11.79%","15450.00","140800.00","200.00"
"Telugu","Bengaluru","V Cinemas: T.C Palya Main Road, Ramamurthy Nagar","03:15 PM","102","94","92.16%","19350.00","20400.00","200.00"
"Telugu","Bengaluru","V Cinemas: T.C Palya Main Road, Ramamurthy Nagar","06:35 PM","102","90","88.24%","18800.00","20400.00","200.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","01:15 PM","505","139","27.52%","22800.00","88375.00","175.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","07:00 PM","505","107","21.19%","17350.00","88375.00","175.00"
"Telugu","Bengaluru","Vaibhav Cinemas A/C 4K 7.1 Dolby: Doddaballapura","10:00 PM","505","101","20.00%","16200.00","88375.00","175.00"
"Telugu","Bengaluru","Venkateshwara A/c 4K Dolby Atmos: K.R.Puram","11:00 AM","843","668","79.24%","117000.00","147525.00","175.00"
"Telugu","Bengaluru","Venkateshwara A/c 4K Dolby Atmos: K.R.Puram","06:00 PM","843","417","49.47%","77550.00","147525.00","175.00"
"Telugu","Bengaluru","Venkateshwara Theatre - Konappana Agrahara (E.City","12:40 PM","463","204","44.06%","49000.00","104175.00","225.00"
"Telugu","Bengaluru","Venkateshwara Theatre - Konappana Agrahara (E.City","10:30 PM","423","87","20.57%","20200.00","95175.00","225.00"
"Telugu","Bellary","Ganga Theatre: Bellary","01:30 PM","512","82","16.02%","23600.00","128000.00","250.00"
"Telugu","Bellary","Ganga Theatre: Bellary","04:45 PM","512","72","14.06%","21600.00","128000.00","250.00"
"Telugu","Bellary","Ganga Theatre: Bellary","08:15 PM","512","84","16.41%","25200.00","128000.00","250.00"
"Telugu","Bellary","Movietime Cinemas: SLN Mall, Bellary","12:00 PM","280","28","10.00%","11050.00","107333.33","383.33"
"Telugu","Bellary","Movietime Cinemas: SLN Mall, Bellary","09:45 PM","280","16","5.71%","6000.00","107333.33","383.33"
"Telugu","Bellary","Radhika Theatre: Bellary","01:45 PM","756","380","50.26%","84000.00","189000.00","250.00"
"Telugu","Bellary","Radhika Theatre: Bellary","05:00 PM","756","382","50.53%","83900.00","189000.00","250.00"
"Telugu","Bellary","Radhika Theatre: Bellary","08:15 PM","756","376","49.74%","83300.00","189000.00","250.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","01:30 PM","553","1","0.18%","100.00","69125.00","125.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","05:00 PM","553","0","0.00%","0.00","69125.00","125.00"
"Telugu","Tumkur","Jai Bharath Theater 4K Atmos: Tumkur","08:30 PM","553","8","1.45%","800.00","69125.00","125.00"
"Telugu","Chikballapur","Balaji Talkies: Chikkaballapura","12:45 PM","136","1","0.74%","200.00","27200.00","200.00"
"Telugu","Chikballapur","Balaji Talkies: Chikkaballapura","07:00 PM","136","28","20.59%","5600.00","27200.00","200.00"
"Telugu","Kolar","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","04:00 PM","184","11","5.98%","1800.00","30360.00","165.00"
"Telugu","Kolar","Sri Narayani Theatre 2K A/C DOLBY ATMOS: Kolar","07:15 PM","184","15","8.15%","2550.00","30360.00","165.00"
"Telugu","Malur","Sri Balaji Theatre: Malur","01:30 PM","307","2","0.65%","300.00","53725.00","175.00"
"Telugu","Malur","Sri Balaji Theatre: Malur","07:30 PM","307","1","0.33%","150.00","53725.00","175.00"
"Telugu","Tiptur","Ganesh Theatre Laser Projection: Tiptur","11:30 AM","829","511","61.64%","62200.00","103625.00","125.00"
"Telugu","Tiptur","Ganesh Theatre Laser Projection: Tiptur","02:30 PM","829","0","0.00%","0.00","103625.00","125.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","12:00 PM","181","23","12.71%","6900.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","03:30 PM","181","36","19.89%","10800.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","07:00 PM","181","15","8.29%","4500.00","54300.00","300.00"
"Telugu","Raichur","Miraj Cinemas: Raichur","10:30 PM","181","0","0.00%","0.00","54300.00","300.00"
"Telugu","Bengaluru","Anupama Theatre A/C 4K Dolby: Gandhinagar","01:30 PM","727","11","1.51%","2050.00","127225.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","01:15 PM","894","191","21.36%","33200.00","156450.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","04:15 PM","894","185","20.69%","32200.00","156450.00","175.00"
"Telugu","Bengaluru","Bhumika Digital 2K Cinema: Gandhinagar","07:20 PM","894","184","20.58%","31900.00","156450.00","175.00"
